timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695815046350,1195,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-3,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1185,0,0
1695815047107,1204,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-4,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1199,0,0
1695815047875,1185,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-5,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1179,0,0
1695815048644,1218,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-6,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1216,0,0
1695815049428,1203,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-7,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1199,0,0
1695815050267,996,https://www.opencart.com/index.php?route=account/register,200,OK,Thread Group 1-1,text,true,,23097,598,13,13,https://www.opencart.com/index.php?route=account%2Fregister,985,0,0
1695815050336,1008,https://www.opencart.com/index.php?route=account/register,200,OK,Thread Group 1-2,text,true,,23092,598,13,13,https://www.opencart.com/index.php?route=account%2Fregister,996,0,0
1695815050274,1234,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-8,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1230,0,0
1695815050436,1208,https://www.opencart.com/index.php?route=account/login,200,OK,Thread Group 1-9,text,true,,12564,595,13,13,https://www.opencart.com/index.php?route=account%2Flogin,1201,0,0
1695815051061,710,https://www.opencart.com/index.php?route=account/register,200,OK,Thread Group 1-3,text,true,,23092,598,13,13,https://www.opencart.com/index.php?route=account%2Fregister,702,0,0
